Temporada;Jugador_CodigoFBRef;Jugador;Equipo_CodigoFBRef;Pais_Codigo;Delantero;Fecha;Dia;Ronda;Sedes;Resultado;Equipo;Adversario;Arranque_Partido_Capitan;Posicion_Jugador;Monitos_Jugados;Rendimiento_GolesMarcados;Rendimiento_Asistencias;Rendimiento_TirosPenalesEjecutados;Rendimiento_TirosPenalesIntentados;Rendimiento_TotalDisparos;Rendimiento_LanzamientoEnObjetivo;Rendimiento_TarjetasAmarillas;Rendimiento_TarjetasRojas;Rendimiento_Toques;Rendimiento_Derribos;Rendimiento_Intercepciones;Rendimiento_Bloqueos;Expectativa_GolesEsperados;Expectativa_GolesEsperadosSinPenaltis;Expectativa_GolesEsperadosConAsistencia;AccionesParaCreacionDeTiros;AccionesParaCreacionDeGoles;PasesCompletados;PasesIntentados;PorcentajeCumplimientoDePases;PasesProgresivos;TransporteVecesControlaBalon;TransporteAcarreosProgresivos;TomasIntentadasEnfrentadoDefensor;TomasExitosasEnfrentando
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-08-16;Lun;Semana 1 de partido;Visitante;E 0–0;Granada;Villarreal;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-08-21;Sáb;Semana 2 de partido;Local;E 1–1;Granada;Valencia;Sí;CB;45;0;0;0;0;0;0;0;0;19;1;1;1;0.0;0.0;0.0;0;0;4;10;40.0;1;4;0;0;0
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-08-29;Dom;Semana 3 de partido;Visitante;D 0–4;Granada;Rayo Vallecano;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-09-13;Lun;Semana 4 de partido;Local;D 1–2;Granada;Betis;No;CB;32;0;0;0;0;0;0;0;0;15;1;1;0;0.0;0.0;0.0;0;0;10;10;100.0;2;10;0;0;0
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-09-20;Lun;Semana 5 de partido;Visitante;E 1–1;Granada;Barcelona;Sí;CB;77;0;0;0;0;0;0;0;0;10;0;0;1;0.0;0.0;0.0;0;0;4;5;80.0;0;2;0;0;0
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-10-03;Dom;Semana 8 de partido;Local;V 1–0;Granada;Sevilla;Sí;CB;90;0;0;0;0;0;0;0;0;31;1;2;1;0.0;0.0;0.0;0;0;17;20;85.0;0;10;0;0;0
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-10-22;Vie;Semana 10 de partido;Visitante;E 1–1;Granada;Osasuna;Sí;CB;90;0;0;0;0;0;0;1;0;67;0;0;2;0.0;0.0;0.0;1;0;45;55;81.8;3;32;0;0;0
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-10-28;Jue;Semana 11 de partido;Local;E 1–1;Granada;Getafe;Sí;CB;90;0;0;0;0;0;0;0;0;99;0;0;0;0.0;0.0;0.0;0;0;89;98;90.8;3;75;0;0;0
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-11-26;Vie;Semana 15 de partido;Visitante;E 2–2;Granada;Athletic Club;No;CB;46;0;0;0;0;1;0;0;0;17;1;1;1;0.2;0.2;0.0;1;0;5;7;71.4;0;6;0;0;0
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-09-23;Jue;Semana 6 de partido;Local;D 2–3;Granada;Real Sociedad;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
